GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.config,SchedulerConfig,42,0,0,0,14,0,3,0,3,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.common.entity,BaseEntity,4,3,0,0,2,1,1,1,1,1
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.common.entity,AuditLog,3,0,0,0,1,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.siem.service,SiemService,5,1456,3,25,0,218,3,19,0,8
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.siem.service,SiemReportService,47,262,7,5,12,56,11,12,4,11
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.polygon.service,PolygonObjectService,537,0,44,0,126,0,41,0,19,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.accesslog.service,AccessLogService,119,0,12,0,23,0,13,0,7,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.accesslog.service,LogService,232,0,8,0,47,0,14,0,10,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.lockout.dto,LockoutPolicyResponse,38,0,0,0,11,0,11,0,11,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.lockout.dto,LockoutPolicyUpdateRequest,31,0,0,0,9,0,9,0,9,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.lockout.dto,LogEntryDTO,52,0,0,0,15,0,15,0,15,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.dataconnection.dto,ConnectionResponse,39,0,0,0,14,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.seeder,ChartSeeder,122,0,14,0,34,0,9,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.dto,UpdateAdminRequest,3,0,0,0,1,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.dto,CreateAdminRequest,6,0,0,0,2,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.dto,AdminResponse,49,0,2,0,13,0,2,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.dto,CreateAdminWithUserRequest,3,0,0,0,1,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.exception,RateLimitExceededException,11,0,0,0,4,0,2,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.exception,ValidationException,12,0,0,0,4,0,2,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.exception,RegistrationException,25,0,0,0,10,0,4,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.exception,DuplicateResourceException,7,0,0,0,2,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.exception,VerificationException,10,0,0,0,4,0,2,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.totp.dto,TotpEnrollSession,97,0,0,0,35,0,15,0,15,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.lockout.dto.enums,LockoutStatus,27,0,0,0,5,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.dataconnection.enums,AuthType,27,0,0,0,5,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.dataconnection.enums,ConnectionStatus,21,0,0,0,4,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.dataconnection.enums,ConnectionType,27,0,0,0,5,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.dataconnection.enums,SyncFrequency,33,0,0,0,6,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.polygon.controller,PolygonObjectController,98,0,0,0,18,0,11,0,11,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.totp.service,TotpRateLimiter,212,0,36,0,48,0,25,0,7,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.totp.service,QRGenerationService,218,0,6,0,38,0,9,0,6,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.totp.service,TotpService,179,0,22,0,42,0,19,0,8,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.totp.service,RedisSessionService,93,0,2,0,29,0,6,0,5,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.totp.service,TotpRateLimiter.AttemptRecord,29,0,2,0,6,0,4,0,3,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.backup.entity,DatabaseBackup.BackupStatus,15,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.backup.entity,DatabaseBackup.BackupType,15,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.entity,ChartCell.Status,15,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.entity,ChartFeature.GeometryType,21,0,0,0,4,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.dto,PasswordPolicyResponse,87,0,0,0,25,0,25,0,25,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.dto,PasswordPolicyUpdateRequest,66,0,0,0,19,0,19,0,19,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.dto,PasswordStatusResponse,31,0,0,0,9,0,9,0,9,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.dto,ChangePasswordResponse,26,0,0,0,9,0,6,0,6,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.dto,ExpiryReportResponse,45,0,0,0,13,0,13,0,13,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.dto,ChangePasswordRequest,26,0,0,0,9,0,6,0,6,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.group.dto,AddGroupMemberRequest,20,0,0,0,6,0,5,0,5,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.group.dto,GroupMemberResponse,134,0,4,0,36,0,24,0,22,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.group.dto,CreateGroupRequest,38,0,0,0,11,0,11,0,11,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.group.dto,UpdateGroupRequest,31,0,0,0,9,0,9,0,9,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.group.dto,GroupResponse,20,0,0,0,9,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.accesslog.controller,LogExportController,119,0,20,0,20,0,15,0,5,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.accesslog.controller,AccessLogController,74,0,8,0,14,0,8,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg,KchtgApplication,17,0,0,0,5,0,4,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.point.controller,PointObjectController,98,0,0,0,18,0,11,0,11,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.controller,PortCargoShareController,649,0,40,0,139,0,51,0,31,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.controller,IntegrationTokenAdvice,36,0,6,0,10,0,5,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.controller,IntegrationSyncController,16,0,0,0,5,0,2,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.controller,IntegrationShareController,192,0,0,0,41,0,14,0,14,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.integration.controller,PortCargoIntegrationController,271,0,0,0,63,0,47,0,47,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.group.service,UserGroupService,381,0,18,0,71,0,24,0,15,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.group.service,GroupService,196,0,12,0,44,0,16,0,10,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security,JwtAuthFilter,208,0,22,0,41,0,15,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security,ClientEncryptionService,184,0,22,0,48,0,20,0,9,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security,PermissionMiddleware,463,0,41,0,80,0,32,0,10,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security,EncryptionUtil,160,0,14,0,40,0,11,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security,JwtProperties,105,0,6,0,33,0,18,0,15,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security,TotpValidator,368,0,42,0,65,0,30,0,9,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security,JwtUtil,331,0,18,0,95,0,23,0,14,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.service,AdminService,409,0,10,0,75,0,24,0,19,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.admin.service,AdminAccountService,229,0,16,0,58,0,21,0,10,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.siem.dto,SiemReportResponse,0,53,0,0,0,21,0,2,0,2
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.siem.dto,SiemReportRequest,0,3,0,0,0,1,0,1,0,1
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.totp.util,ConstantTimeComparer,33,0,6,0,6,0,4,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.security.totp.util,TotpSecretHasher,141,0,6,0,36,0,9,0,6,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.polygon.entity,PolygonObject.ApprovalStatus,0,21,0,0,0,4,0,1,0,1
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.polygon.entity,PolygonObject.Status,0,45,0,0,0,8,0,1,0,1
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.polygon.entity,PolygonHistory.ActionType,45,0,0,0,2,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.polygon.entity,PolygonObject.ObjectType,39,0,0,0,7,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.gis.layer.service,MapLayerService,899,0,64,0,212,0,74,0,42,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.trade.service,TradeFlowService,635,0,44,0,111,0,38,0,14,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.common.scheduler,LogCleanupScheduler,29,0,0,0,10,0,3,0,3,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.exception,PasswordComplexityException,7,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.exception,PasswordHistoryException,4,0,0,0,2,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.exception,PasswordExpiredException,4,0,0,0,2,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.password.exception,GlobalPasswordExceptionHandler,32,0,0,0,8,0,5,0,5,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.mapicon.controller,MapIconController,50,0,0,0,10,0,6,0,6,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.mapicon.service,SymbolService,294,0,18,0,59,0,25,0,16,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.mapicon.service,MapIconService,205,0,14,0,47,0,17,0,10,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.mapicon.entity,MapIcon.Status,15,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.mapicon.entity,MapIcon.Category,33,0,0,0,6,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.mapicon.entity,SymbolUsage,21,0,0,0,7,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.mapicon.entity,SymbolLibrary.SymbolFormat,21,0,0,0,4,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.siem.entity,SiemReportStatus,0,21,0,0,0,4,0,1,0,1
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.entity,PasswordResetToken,25,0,0,0,7,0,2,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.entity,LoginAttemptType,15,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.entity,VerificationToken,5,0,0,0,1,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.entity,UserStatus,33,0,0,0,6,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.entity,Permission,72,0,20,0,15,0,14,0,4,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.entity,LoginAttemptResult,0,15,0,0,0,3,0,1,0,1
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.entity,AccountRegistrationAudit.AuditStatus,15,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.entity,RoleStatus,21,0,0,0,4,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.group.entity,GroupMember,28,0,2,0,8,0,2,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.group.entity,GroupMemberStatus,21,0,0,0,4,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.group.entity,GroupStatus,15,0,0,0,3,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.group.entity,GroupHistory,24,0,0,0,8,0,1,0,1,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.dto,CreateRoleRequest,31,0,0,0,9,0,9,0,9,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.dto,UpdateRoleRequest,31,0,0,0,9,0,9,0,9,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.dto,UserResponse,74,0,6,0,21,0,6,0,3,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.dto,PermissionCheckRequest,40,0,4,0,15,0,9,0,7,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.dto,MfaChallengeResponse,36,0,0,0,12,0,2,0,2,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.dto,RoleResponse,115,0,2,0,30,0,21,0,20,0
HH.KCHT :: M-001 Quản trị hệ thống,com.hanghai.kchtg.user.dto,PermissionResponse,80,0,4,0,28,0,16,0,14,0
